Id,SalePrice
337,182572.89862654233
1018,182572.89862654233
929,182572.89862654233
1148,182572.89862654233
1227,182572.89862654233
650,182572.89862654233
1453,182572.89862654233
152,182572.89862654233
427,182572.89862654233
776,182572.89862654233
30,182572.89862654233
1425,182572.89862654233
423,182572.89862654233
1185,182572.89862654233
775,182572.89862654233
391,182572.89862654233
1408,182572.89862654233
513,182572.89862654233
1266,182572.89862654233
173,182572.89862654233
1150,182572.89862654233
797,182572.89862654233
137,182572.89862654233
706,182572.89862654233
1377,182572.89862654233
1177,182572.89862654233
1456,182572.89862654233
369,182572.89862654233
1421,182572.89862654233
999,182572.89862654233
1217,182572.89862654233
937,182572.89862654233
769,182572.89862654233
831,182572.89862654233
678,182572.89862654233
574,182572.89862654233
921,182572.89862654233
1292,182572.89862654233
1277,182572.89862654233
676,182572.89862654233
108,182572.89862654233
424,182572.89862654233
823,182572.89862654233
1455,182572.89862654233
377,182572.89862654233
1256,182572.89862654233
1120,182572.89862654233
265,182572.89862654233
1158,182572.89862654233
725,182572.89862654233
1378,182572.89862654233
1139,182572.89862654233
122,182572.89862654233
515,182572.89862654233
518,182572.89862654233
1214,182572.89862654233
443,182572.89862654233
903,182572.89862654233
53,182572.89862654233
469,182572.89862654233
76,182572.89862654233
1142,182572.89862654233
1222,182572.89862654233
851,182572.89862654233
334,182572.89862654233
1008,182572.89862654233
19,182572.89862654233
339,182572.89862654233
1118,182572.89862654233
834,182572.89862654233
1176,182572.89862654233
945,182572.89862654233
1415,182572.89862654233
911,182572.89862654233
388,182572.89862654233
747,182572.89862654233
620,182572.89862654233
386,182572.89862654233
818,182572.89862654233
539,182572.89862654233
535,182572.89862654233
1399,182572.89862654233
571,182572.89862654233
38,182572.89862654233
850,182572.89862654233
1032,182572.89862654233
1433,182572.89862654233
1354,182572.89862654233
1072,182572.89862654233
371,182572.89862654233
1242,182572.89862654233
681,182572.89862654233
290,182572.89862654233
973,182572.89862654233
989,182572.89862654233
484,182572.89862654233
1240,182572.89862654233
1125,182572.89862654233
1143,182572.89862654233
1340,182572.89862654233
1343,182572.89862654233
936,182572.89862654233
1151,182572.89862654233
1380,182572.89862654233
1190,182572.89862654233
635,182572.89862654233
47,182572.89862654233
729,182572.89862654233
1434,182572.89862654233
472,182572.89862654233
1156,182572.89862654233
1352,182572.89862654233
717,182572.89862654233
385,182572.89862654233
1334,182572.89862654233
243,182572.89862654233
39,182572.89862654233
1168,182572.89862654233
214,182572.89862654233
647,182572.89862654233
490,182572.89862654233
512,182572.89862654233
1181,182572.89862654233
1451,182572.89862654233
1428,182572.89862654233
767,182572.89862654233
1250,182572.89862654233
855,182572.89862654233
1001,182572.89862654233
49,182572.89862654233
25,182572.89862654233
1058,182572.89862654233
24,182572.89862654233
758,182572.89862654233
1060,182572.89862654233
1110,182572.89862654233
1057,182572.89862654233
491,182572.89862654233
378,182572.89862654233
1429,182572.89862654233
55,182572.89862654233
770,182572.89862654233
737,182572.89862654233
59,182572.89862654233
29,182572.89862654233
788,182572.89862654233
9,182572.89862654233
1371,182572.89862654233
260,182572.89862654233
249,182572.89862654233
88,182572.89862654233
893,182572.89862654233
803,182572.89862654233
901,182572.89862654233
1124,182572.89862654233
223,182572.89862654233
1278,182572.89862654233
1174,182572.89862654233
312,182572.89862654233
624,182572.89862654233
1445,182572.89862654233
296,182572.89862654233
753,182572.89862654233
1320,182572.89862654233
432,182572.89862654233
1362,182572.89862654233
1069,182572.89862654233
1255,182572.89862654233
50,182572.89862654233
454,182572.89862654233
881,182572.89862654233
500,182572.89862654233
807,182572.89862654233
766,182572.89862654233
866,182572.89862654233
162,182572.89862654233
1193,182572.89862654233
798,182572.89862654233
1400,182572.89862654233
6,182572.89862654233
58,182572.89862654233
1435,182572.89862654233
867,182572.89862654233
960,182572.89862654233
441,182572.89862654233
481,182572.89862654233
219,182572.89862654233
128,182572.89862654233
858,182572.89862654233
215,182572.89862654233
1030,182572.89862654233
1204,182572.89862654233
531,182572.89862654233
529,182572.89862654233
346,182572.89862654233
621,182572.89862654233
1194,182572.89862654233
1000,182572.89862654233
761,182572.89862654233
1351,182572.89862654233
1442,182572.89862654233
233,182572.89862654233
360,182572.89862654233
886,182572.89862654233
11,182572.89862654233
572,182572.89862654233
1375,182572.89862654233
328,182572.89862654233
1417,182572.89862654233
1089,182572.89862654233
242,182572.89862654233
1198,182572.89862654233
492,182572.89862654233
743,182572.89862654233
1258,182572.89862654233
1350,182572.89862654233
722,182572.89862654233
442,182572.89862654233
90,182572.89862654233
1007,182572.89862654233
1241,182572.89862654233
144,182572.89862654233
1317,182572.89862654233
1080,182572.89862654233
1160,182572.89862654233
482,182572.89862654233
33,182572.89862654233
1280,182572.89862654233
541,182572.89862654233
994,182572.89862654233
1385,182572.89862654233
792,182572.89862654233
1002,182572.89862654233
420,182572.89862654233
354,182572.89862654233
447,182572.89862654233
883,182572.89862654233
578,182572.89862654233
